NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
 napi a'rí machí bitisúa kochía   he aníame hu kíti ri'ná bitisí 		‘Cuando dormimos afuera nos dicen: “no se acuesten boca arriba”	‘When somebody woould sleep outside it was said: “don’t sleep on your back”’		tx5[06_001-06_037].wav
 we na we ará na tibúpa ruwá kúchi   he aní ru 		‘Dicen que cuidemos bien a los niños chiquitos’	‘They say we should take good care of the small ones’		tx5[06_094-06_136].wav
 yéna áti ritéame hu ru 		‘Sí hemos visto’	‘We indeed have seen it’		tx5[06_216-06_230].wav
 he belá reká ka ruwá ru ba 		‘Así dicen que es’	‘That’s indeed how they say it is’		tx5[06_281-06_303].wav
 échi éna beláne pe okuá ra'íchama ba 		‘Hasta aquí voy a hablar un poquito’	‘That is all I will speak to (you)’		tx5[06_303-06_335].wav
nári bahtári ko birámi niwáma nári he riká		el tesgüino lo vas a hacer así			tx60[00_150-00_191].wav
bachámi sunú ohóma		primero vas a desgranar el maiz			tx60[00_192-00_214].wav
hápi kim ... hápu churúm banása níri		lo que uno quiera hacer			tx60[00_219-00_247].wav
pe biré barríka ma pe okuá ma		una barrica o dos			tx60[00_248-00_269].wav
a'rí chihónsa mám kostáalchi mo'áma		y ya lo metes en un costal			tx60[00_369-00_391].wav
pe ápu shi a'wí		hasta que nazca			tx60[00_396-00_412].wav
a'rími nokéema ará nári kíti ko ke muyáma		y lo vas a mover cada rato para que no se pudra			tx60[00_431-00_474].wav
ará ke mem ratáachi muchuwáma kíti ko ke wikótuma		no hay que ponerlo donde está muy caliente para que no se queme			tx60[00_501-00_543].wav
a'rí chihónsa ma ará a'wíro ko pe usán rawé, pe kicháo má		y ya cuando nace en seis días o siete días			tx60[00_547-00_587].wav
biréana sarrápichi rarána ucháma		lo pones en una cobija así tendido			tx60[01_065-01_092].wav
a'rí nápi ré ma baná ... nap arí ma banáma riká komi		y ya cuando vayas a hacer el tesgüino			tx60[01_097-01_123].wav
mam ba'arína ko ma batúma matáriri o moríinchi		ya al otro día lo mueles en el metate o en el molino			tx60[01_212-01_250].wav
a'rí ma batúsa kom, nári mám ba'wí túma		y ya cuando lo muelas ya acarreas agua			tx60[01_272-01_317].wav
a'rí biré tánke bochíuka		llenas un tanque			tx60[01_319-01_338].wav
a'rí chihónsa ma ará nári, mam ará warú na'éma		y entonces ya le echas mucha lumbre			tx60[01_341-01_380].wav
wem ará tibúma kíti ko ke ... ke ronibúbuma		lo cuidas muy bien para que no se pase hirviendo			tx60[01_380-01_410].wav
a'rí chihónsa ko ma ará wachisáa komi che chom ku pákima		y ya cuando ya esté cocido lo vuelves a colar			tx60[01_538-01_574].wav
ma arí ma hápi shi washí pákisami rurabátima pe téeri		Ya en la tarde ya cuando esté cocido lo cuelas y lo enfrías un rato			tx60[01_574-02_029].wav
a'rí chihónsa rurabátisa ko ma tánkechi ro'áma pe sébiri ratáami káachi		y ya entonces lo enfrías y ya lo echas en el tanque (acostado), que esté medio tibio (ni muy caliente ni muy frio)			tx60[02_033-02_079].wav
a'rí chihónsa mam achéma asúkar a'rí arína		y entonces ya le echas la azúcar y la harina			tx60[02_081-02_115].wav
nári arína ko wikobéka péi		la harina poquito tostada			tx60[02_119-02_150].wav
péi ke me ne wikótikami péi sébiri		poquito, no muy quemada, más o menos (ni muy quemado ni muy crudo)			tx60[02_151-02_173].wav
wikobéka a'rí chihónsam achéma nári		tostado y entonces le echas			tx60[02_176-02_203].wav
basiáwi mi achénira ko, pe ke ... pe ka a chéka hu lebadura		si le quieres echar basiáwari no le echas levadura			tx60[02_252-02_288].wav
nári bahtári ko na he riká niwaríwi		‘El tesgüino se hace asi’			tx68[00_152-00_194].wav
biré arramúri, okuá arimúri ma bikiá arimúri ma		‘Un decalitro o dos decalitros o tres decalitros’			tx68[00_258-00_292].wav
a'rí échi ma ohóshuwa ka		‘Y luego ya cuando se desgrana’			tx68[00_292-00_313].wav
a'rí na ma waseríwi tánkechi		‘Y ya se pone a coser en un tanque’			tx68[01_091-01_137].wav
ma pachána na tánkechi ro'elíwi		‘Y ya se le echa para adentro en el tanque’			tx68[01_236-01_264].wav
a'rí ma ronóo ko ma birá shiné rawé waséwo choná ko ba		‘Y ya cuando hierve ya se coce todo el día’			tx68[01_264-01_306].wav
a'rí ma a'rí ko ma ará washisáa ka ku sipibátika na		‘Y ya cuando se cose se enfría’			tx68[01_306-01_358].wav
bandéhachi ku ro'aká sipibátuwa		‘Se echa en una bandeja para enfriarlo’			tx68[01_358-01_378].wav
a'rí ma choná honsa ma ará shipisáa ka		‘Y entonces ya cuando se enfría’			tx68[01_378-01_402].wav
a'rí ma tánkechi ko'ná ro'aríwi sikoríchi ma		‘Y ya se echa en un tanque o en una olla’		Check Phon	tx68[01_402-01_435].wav
ápu ko ná ... ápu ko ná na ... na chipubáma ré		‘Donde se va a amargar’		Check Phon	tx68[01_435-01_470].wav
a'rí choná ko na pe birá basíawi batúkami achiríwa itiwéri chabée ko		‘Y entonces ahí se le echaba basiawari molido antes’			tx68[01_470-01_536].wav
hípi ko ma ke, ma káchi wési napabú basiáwi hípi ko na		‘Ahora ya nadie junta basiawari, ahora’			tx68[01_536-01_582].wav
a'rí ko ma na ... ápu kisápi rawé batúbo ré		‘Y entonces ya los días que va a moler’			tx68[02_109-02_154].wav
osá rawé batú harré ... harré bikiá rawé		‘Unos muelen dos días y otras muelen tres días’			tx68[02_154-02_182].wav
a'rí ma na ... ma ará shuwábsa ka batúa ma birá pa bahurékua ba		‘Y ya cuando termina de moler ya se invitan’			tx68[02_182-02_225].wav
a'rí we birá tékka bahí ba		‘Y se emborrachan mucho tomando’			tx68[02_275-02_300].wav
we ará nísa ka bahtári ba we ará wasíame nísa ka ba		‘Si esta bueno el tesgüino si esta bien cosido’			tx68[02_300-02_325].wav
we birá rikúka bahíta ru ba		‘Nos emborachamos mucho’			tx68[02_325-02_354].wav
échi bahtári ko ba ma pe chiyénan biráni mi ruwéma échi hítara ko ba		‘El tesguino, ya deste tanto te voy a decir’			tx68[02_354-02_397].wav
matétara ba		‘Gracias’			tx68[02_397-02_408].wav
ná ko nári rutúkuri birá hítara na ruméo ré ko		‘Esto voy a contar de un tecolote’	‘This I’m goig to tell about an owl’	[BF: re ruméo ré - “yo digo rumé oréi – ‘yo voy a decir’”. She wouldn’t use rumé oré ko.]	tx71[00_170-00_226].wav
a'rí na ma chabé ki'á ko we birá ma wiká bamíbika sunáa náp ... suwíra ruwá na ... na hémi piréami		‘Y antes dicen que cumplían muchos años todos los que vivían por aquí’	‘And before they say that they would turn many years olf the people that used to live here’		tx71[00_279-00_370].wav
a'rí échi ko ke biré mukúra ruá échi rihói		‘Y ese hombre decían que no se moría’	‘And that man they say he wouldn’t die’		tx71[00_370-00_399].wav
aminába á wiribémna inárila ruá ná ... wiká bamíbami níla ruá		‘Decían que llevaba mucho tiempo, que tenía muchos años’	‘They say he had a long time, that he would turn many years old’		tx71[00_399-00_448].wav
 a'rí á riká ke mukúra ruá pe rutúkuri narína nahítila ruá binói ko		‘Y dicen que no se murió, él se volvió tecolote’	‘And then they say he didn’t die, but he turned into an owl’		tx71[00_448-00_492].wav
a'rí écho ná hónsa ko na ... choná hónsa ko ma birá na ... rutúkuri nahítsa ko a'rí ko ma birá ná ... ápi aniká iyéni hípi échi riká birá ko		Y entonces de allí entonces ya... ya cuando se volvió tecolote ya así como le anda haciendo (cantando) por aqui así	‘And then since then on, when he turned into an owl he started doing (singing) how he sounds like around here’		tx71[00_492-01_009].wav
nári aniká yéna ruwá ba		‘Le andaba haciendo (cantando)’	‘He would then go around making noise’		tx71[01_009-01_037].wav
we birá tamí échi ruyéa cho ruwá ruyám ka ruwá		‘Que me dice que es el que dice (avisa lo que va a pasar)’	‘It tells me, he’s the pone who tells what will happen’		tx71[01_094-01_139].wav
we birám ri'ía anía wirí i wiríchini rú nápi a'rí ma		‘Se oye quejar mucho ya cuando pasa’	‘It sounds like complaining a lot after he passes by’		tx71[01_234-01_272].wav
we birá ruyá iyénta ruwá échi ko na ... hápi karrú ikibó ba		‘Dicen que el anda avisando mucho cuando algo va a pasar’	‘They say he goes around when something will happen’		tx71[01_319-01_379].wav
a'rí ko échi ko he birá aniwá chabé ki'á échi ... échi chérame rehói		‘Y alli dicen que antes ese señor viejito’	‘And then they say that that old man’		tx71[01_439-01_481].wav
a'rí ko na he birá aniwá sí ko na		‘Y también dicen’	‘And they also say’		tx71[01_507-01_558].wav
échi we owirúame níra ruá a'rí híti birá á riká na		‘Dicen que el era muy curandero, por eso’	‘They say he was a very powerful shaman, and that’s why’		tx71[01_558-01_592].wav
rutúkuri nahítshika a'rí hípi ko na		‘Ya cuando se hizo tecolote ahora’	‘And now when he turned into an owl’		tx71[01_592-02_018].wav
ma birá ke échi ke la ra re pe échi be á kúchuara ka ruwá rutúkuri ko		‘Ya no es el mismo los tecolotes son los hijos de el’	‘He’s not the same one, owls are his children’		tx71[02_041-02_086].wav
a'rí hém aniwá re ma na échi owirúami níla ruá chabé		‘Y muchos dicen que el era curandero antes’	‘And a lot ot people say that he was a shaman before’		tx71[02_086-02_152].wav
échi sukurúami ke cho ko'áami níla ruá na ko'ná a'rí korí shi		‘Y dicen el curandero tampoco comía sal ni chile’	‘And they say that the shaman wouldn’t eat salt nor chile’		tx71[02_238-02_279].wav
a'rí ko na hípi ko he belá aniwá ápi a'rí harré ko he aní		‘Y ahora dicen y otros dicen’	‘And now they say and some say’		tx71[02_279-02_328].wav
a'rí ko na á belá haré á échi orá ru á ma ...machím á ko'ná páshiami ko ru		‘Unos si dicen que le hacen así, que le tiran sal para fuera’	‘Some say that they do that, that they throw salt at it outside’		tx71[02_390-02_458].wav
we ... we iyá ku máshia ruwá choriwá ko'ná páshia		‘Dicen que va pronto si le hacen eso si le tiran sal’	‘They say that he leaves soon if they do that to him, if they throw salt at him’		tx71[02_470-02_502].wav
a'rí birá á machía ruwá binói ko na ...		‘Y dicen el mismo sabe cuando’	‘And they say that he himself knows when’		tx71[02_502-02_529].wav
a'rí birá échi rutúkuri ko he birá aníri pa ná ..		‘Y luego el tecolote asi dijo’	‘And then the owl say this’		tx71[03_119-03_157].wav
échi riká á ané nokí á ra'ichása aní ru ba		‘Asi le dice casi quiere hablar’	‘That’s what he says, he almost wats to talk’		tx71[03_248-03_276].wav
a'rí híti berá á rihói níra ruá chaniwá ba		‘Por eso dicen que era hombre así dicen’	‘That’s why they say he was a man’		tx71[03_276-03_305].wav
 ápi a'rí na échianiká iyéna biréna bitichí~ki ru ba 		‘Cuando anda diciendo por las casas’	‘When he goes around the houses saying that’		tx71[03_345-03_381].wav
harré rikámi nosowíma rikám pa		‘Porque va a morir alguien’	‘Because somebody will die’		tx71[03_411-03_434].wav
a'rí na ... ne ko a birá mayéa níri écho ná hítara ko		‘Yo si pienso que el se hizo’	‘I do think he turned into an owl’		tx71[03_434-03_522].wav
a bél riwá cho ro siné ba		‘Yo tambien vi una vez’	‘I also saw that once’		tx71[03_522-03_543].wav
chu riká noríno biré bitichí		‘Como vino una vez en una casa’	‘How he came to a house once’		tx71[03_543-03_577].wav
machíka yéachi chukú		‘Estaba por fuera de la puerta’	‘He was by the outside of the door’		tx71[03_577-03_596].wav
a'rí ko échi ... échi mukí ko we birá okóami bu'íri échi ko na pachá ba		‘Y entonces esa señora estaba muy mala allí adentro’	‘And the that woman was really sick in there’		tx71[04_107-04_148].wav
we nayúami bu'íri ba		‘Estaba acostada muy mala’	‘She was lying down really sick’		tx71[04_148-04_163].wav
a'rí ko na échi rihói ko échi mukí mairá ko we sapú birá na napisó wiká páshiri machími		‘Y el señor, el papá de la señora pronto agarró la ceniza y le tiró para afuera’	‘And the man, the father of the woman, soon grabed ashes and threw them out at him outside’		tx71[04_213-04_290].wav
a'rí ko ma á ku akíbi		‘Y entonces sí se fue’	‘And then he left’		tx71[04_290-04_304].wav
a'rí ko náp aní ashíchini o chécho á		‘Y entonces otra vez se oía que estaba sentado ahí por arriba’	‘And then again it would sound like he was sitting there up’		tx71[04_304-04_328].wav
a'rí ko cho ná hónsa ko ma birán á riwá cho shi cho ba		‘Y entonces de ahí yo también ya vi’	‘And then from there I also saw him’	[ma] at the end of Phon?	tx71[04_363-04_397].wav
ke ayó~ko ma natakéa akíbi échi tiwé ba échi mukí ba		‘Y ya al ratito ya de desmayó esa muchacha, esa señora’	‘And soon after the woman fainted, that woman’		tx71[04_397-04_436].wav
ma ku shimíachani cho échi rutúkuri ko ba		‘Ya también se oyó que se fue el tecolote’	‘It sounded like the owl also left’		tx71[04_463-04_486].wav
a'rí ko cho ná hónsa ko á biráni we ... we cho ám chi riká wichíwi cho ne á ma wiká namúti á		‘Entonces de ahí ya supe como creer yo muchas cosas’	‘And then from there I knew how to believe in all of these things’		tx71[04_486-04_552].wav
ma beti we machí ma pe ba'arína aké biré rikámi ke nosowía ikíchini á biréna mi piréami na'í á		‘Ya sabíamos ya al otro día se oía que se morían los que vivían en otra parte’	‘We would find out the next day that they would day, the ones living somewhere else’		tx71[04_580-05_043].wav
natétara ba		‘Gracias’	‘Thank you’		tx71[05_134-05_161].wav
na kúuchi ko he birá riká nururíwi ru ba		‘Los niños los mandan asi’			tx73[00_182-00_215].wav
chiba ma nisénira nururíwa ...harré ko...harré ko ma nakúram hu wasarrá		‘Unos los mandan a cuidar las chivas y otros ayudan a barbechar’			tx73[00_365-00_421].wav
pé makó bamíuka ma we riká ihárro ku wasarrá ru		‘Andan al año andan barbechando otra vez		[BF: re ihárro - ahárro - iwiríri – anda uno]	tx73[00_421-00_460].wav
a'rí kúchi iwé ko ma chí birá cho nári kobíria cho, riméa, moléra, wichóa ma		‘Y las niñas también muchas cosas, a hacer pinole, tortillas, moler, lavar’			tx73[00_460-00_551].wav
á suwába biné es kúchi ko kúchi ka biné orá échi		‘Ellas saben hacer todo, aprenden desde chiqhitas’			tx73[00_551-00_592].wav
a'rí reméa ko we birá riká uchukú cho á wiká riméami cho hu kúchi ru ba		‘Y se ponen a hacer tortillas, hacen muchas tortillas’			tx73[00_592-01_035].wav
aparí échi wénara bahía énisa abói á riméa ko'á échi kúchi... bitérichi ru		‘Cuando sus papas andan tomando ellas hacen tortillas en sus casas’			tx73[01_035-01_095].wav
a'rí nári...he ma ma chiba méra ma iyénto ma wáasi ma na ...tibúam hu ru ba hémi aparí na we ichirúa wirí		‘Y luego se van a cuidar las chivas o a cuidar las vacas por allí’ ‘Cuando ya está sembrado’			tx73[01_095-01_208].wav
we na si we riká iyénto wási niséa échi kúchi ko		‘Las niñas se van a cuidar las vacas’			tx73[01_208-01_254].wav
nári... burrito ma..murrúami cho hu ku ru ba		‘Luego...acarean en burros’			tx73[01_285-01_322].wav
we miká shiméaka cho murrú és kúchi ku		‘Ellos se van a traer muy lejos’			tx73[01_322-01_350].wav
nári...onorá birá á yúa simí ba binéria chó ku niwá mi ... mi kawichí ru ba		‘Los papás se van con ellos para enseñarlos a hacer leña para al monte’			tx73[01_350-01_412].wav
binério murrúta ma burrítochi		‘Los papás se van con ellos para enseñarlos a hacer leña para al monte’			tx73[01_412-01_439].wav
riyáwa mi'téa ba...		‘Cortar la hierba’			tx73[01_532-01_552].wav
nári...eskardiya siméria ma ba pachí ba		‘O a pasar la escardillar el maíz’			tx73[01_552-01_597].wav
we ará machí échi kúchi kúruwi		‘Ellos saben hacer muy bien’			tx73[01_597-02_017].wav
we ará binéruam hu iwénura ko		‘Los papas los enseñaban muy bien’			tx73[02_017-02_039].wav
a'rí pe suwába á nócha ápi ki á nócha na'í bitichí échi kúchi ko		‘Y ellos trabajan todo el trabajo que hay aquí en las casas’			tx73[02_070-02_134].wav
nári kúchi iwé ma...we á machí cho peláto pakóma		‘Y las niñas saben muy bien lavar los platos’			tx73[02_134-02_185].wav
ma...a'rí ko ma...harré ko wichósi ma wiká nísa ka		‘Y otras se ponen a lavar si son muchas’			tx73[02_208-02_257].wav
harré ko wichósia simí ba na riríta komíchi		‘Y otras se van a lavar al arrollo’			tx73[02_257-02_284].wav
ma we ará biné ba échi kúchi ko na kúchi ka benérua ka ba		‘Las niñas aprenden muy bien si los enseñan desde chiquitas’			tx73[02_326-02_365].wav
ke binérua ko ke birá ke birá binéma aré pa		‘Si no las enseñas no van a aprender’			tx73[02_365-02_399].wav
na we pi ko anirí nuréa taka hónsa ba		‘Si desde chiquitas las tienen que mandar mucho’			tx73[02_399-02_431].wav
tamuhé chabée ko we biráti risóa riká ochériri ba a'rí koti pe machí ronéa énami hu tu eskuélachi ba		‘Nosotros antes crecimos sufriendo mucho, nosotros andábamos descalzos allá abajo en la escuela’			tx785[00_020-00_102].wav
ke biré cho nirúi sapáto chabée ko ba		‘No había zapatos antes’			tx785[00_102-00_142].wav
ke biré huarache hápu riká hípi		‘Ni huaraches, así como ahora’			tx785[00_142-00_170].wav
hípi ko ma we nirrú huarache ba né		‘Ahora ya hay mucho huarache’			tx785[00_170-00_206].wav
tamó ko we rihtúa énam ke chabé eskuélachi		‘Nosotros nos manteníamos antes con mucho frío en la escuela’			tx785[00_206-00_251].wav
pe ke' mé a'rá shipúka o máa		‘Ni casi con buenas faldas’			tx785[00_380-00_407].wav
hápu riká hípi ke' me chiriká		“Así como ahora, no igual”			tx785[00_407-00_446].wav
chabé ka biré nirú chiní ru ba		‘Antes no había telas’			tx785[00_446-00_480].wav
machíniki ne ko eskuélachi ko		‘Salí yo de la escuela’			tx785[01_017-01_044].wav
iwé'e, kúruwi má		‘Las niñas y también los niños’			tx785[01_084-01_105].wav
a'rí ahká akéka harré á'a korréaka		‘Y unas con huaraches de tres agujeros, con correa’			tx785[01_125-01_167].wav
háp a'rí tamó bushurréri ko		‘Cuando nos dimos cuenta (despertamos) nosotros’			tx785[01_440-01_464].wav
“hierbas” ko ba, ke beti ... ke beni machíi ne ko ba		‘Hierbas, nosotros no ... yo no conocía nada’			tx785[02_220-02_257].wav
nihé yéra ko yén á machíi pe okuáa ko		‘Mi mamá si sabía poquito’			tx785[02_257-02_290].wav
pe okuáa		‘Poquito’			tx785[02_296-02_310].wav
échiti bahíam ke, háp a'rí mo'ochí okorá		‘Eso tomábamos cuando nos dolía la cabeza’			tx785[02_385-02_416].wav
a'rí ba'wí húa nasóoka a'rí he riká tamó uchéi		‘Y luego con agua y luego nos ponía’			tx785[02_496-02_531].wav
amarrúam, he riká		‘Todo, así’			tx785[02_531-02_550].wav
hap a'ríti rahtáari		‘Cuando nos daba calentura’			tx785[02_564-02_582].wav
hípi ko be wiká nirrú owáam pa aní chabée ko ke chiriká hu ba		‘Ahora hay mucha medicina, antes no era así’			tx785[03_048-03_093].wav
owirúami yén cho á		‘Curanderos también’			tx785[03_135-03_153].wav
yén cho á kíti biráti óowam hu owirúam á		‘Nosotros también nos curábamos con curandero’			tx785[03_153-03_186].wav
a'rí yénti á ku sa'wíam hu owirúam kítara		‘Y sí nos curábamos con curanderos’			tx785[03_207-03_238].wav
mo hípi yén cho?		‘Tu también ahora?’			tx785[03_275-03_292].wav
chu ko noká ba? keni machí échi ko ba		‘Qué harán? Eso no se!’			tx785[03_454-03_492].wav
chu ko riká na binéruwa owirrúami		‘Cómo se aprenderá para ser curandero?’			tx785[03_492-03_544].wav
tási ne machí, keni ikíi échi riká		‘No se, así no se’			tx785[04_013-04_045].wav
tamó ko he rigá nóchami hu na isérigam go aparíti so ba mi ripá tiyópachi nari nawésaru ba		‘Nosotros los gobernadores así trabajamos, como allá arriba en la iglesia damos discurso’			tx816[00_000-00_070].wav
ná ra ... ápta né waraká hárpo ápu rikáti so ra'amábo na rarámuri ba shuwába má kári ka mukí úa ba		‘Todo lo que sabemos, darles consejos a los hombres y a todos también y a todas las mujeres’			tx816[00_103-00_166].wav
kíti a'rá busuréa hármam cho ba		‘Para que también anden sabiendo (despertando)’			tx816[00_166-00_191].wav
kíti kaníra hárma cho kíti á kipúsa échi ba		‘Para que anden a gusto cuando hayan oído’			tx816[00_191-00_219].wav
kíti ke tási namú nokoká hárma		‘para que no anden haciendo nada’			tx816[00_219-00_234].wav
ápu a'rí hémi bahíwa ba sinée káachi		‘cuando tomen por aqui en veces’			tx816[00_234-00_256].wav
áp a'rí bahtári bahíba		‘cuando toman tesgüino’			tx816[00_256-00_274].wav
échi riká nóchami ú échi ba, échi birá ko ká ré ápu ra'amásima		‘Ellos así trabajan, ellos son los que deben de aconsejar’			tx816[00_399-00_434].wav
kíti échi riká éenami cho échi ko, kíti échi riká nurérami kámi chabée ki'á hónsa ba		‘Porque ellos así andan, así los mandaron desde antes			tx816[00_491-00_529].wav
kíti échi riká orá níira échi kíti biré		‘Por eso así fue, por eso’			tx816[00_529-00_557].wav
we chabée ki'á ko ne birá rasíra natéami níri échi nári ra'íchiri aré we pi ko we miká siméaka ma náriki pueblo níri échi ko		‘Antes era mas valiosa esta, la plática, nomás que ellos se iban a otro pueblo lejos’			tx817[00_000-00_086].wav
amí noráachi nirrúam níri na lehídochi ápu ke cho anáurachi ko na'í ke cho itéachi ko lehídochi ba		‘Este ejido era de Norogachi cuando todavía no se medía este ejido’			tx817[00_086-00_147].wav
kíti we okuá (okáa) rihóoram pa pe birá okuá rihóori pe osá ...bisá makóo rikáachi rihóori ré ba sinéwi chokichí í ko ba aparí kíti		‘Porque vivía muy poquita gente, vivían como veinte o treinta, la primera vez, cuando por eso’			tx817[00_218-00_294].wav
na'í peréam ba chimí shimíbika birá omáura ruá ki'á ro kíti na we nóchiri oráram chabé ko ba		‘Los de aquí se iban para allá a hacer las fiestas, por eso batallaron mucho antes’			tx817[00_294-00_369].wav
kíti ke cho rihóori ma na'í ba ka che wikabé rihóori ba okuá rihóoram ba pe besá makói rihóori ré		‘Porque casi no había gente aquí, había muy poquita como treinta yo creo’			tx817[00_369-00_429].wav
énika omáuri chabée ki'á ko ba ni		‘Se iban a hacer las fiestas antes’			tx817[00_454-00_478].wav
amarrúami birá chiriká níla ruá chiná biréni bi níla ruá póburo nápu riká nárika tatawíchi ru ba		‘En todas partes dicen que era así, nomás allí era el pueblo mas grande, asi como tatawichi’			tx817[00_478-00_538].wav
na lehídochi cho mati waná na rohána cho		‘Este ejido ya nos apartaron’			tx817[01_030-01_066].wav
anáuram pa kíti ma ku waná rihówi í rikáachi puéblo ba		‘Midieron, por eso todos viven aparte por aquí en los pueblos’			tx817[01_066-01_100].wav
í rigá u chomíli he riká biráni mi ruwéma échi suwábuka pagótami		‘Así es por allí, así les voy a decir a toda la gente’			tx817[01_100-01_129].wav
matétara ba		‘Gracias’			tx817[01_129-01_136].wav
mi go'nápini bitéri chabé ki'á ko		‘Allá donde vivía antes’			tx84[00_346-00_384].wav
mi ripá risochíti piréa riké		‘Allá vivíamos por arriba de una cueva’			tx84[00_405-00_432].wav
a'rí siné rawé ko pe kubéchi ke tamuhé		‘Y un día estábamos chiquitas nosotras’			tx84[00_432-00_479].wav
ápu nihé papáwara bitérichi		‘Donde vivía mi papá’			tx84[00_524-00_538].wav
a'rí tamó ko kíni tío úa muchuwása shimáaro		‘A nosotros nos dejaron con mi tío’			tx84[01_191-01_234].wav
a'rí échi kíni tío ko pe birá kurí tarári chiléla ke na ...kurí napawíri échi mukí yúa kíni tía yúa ba		‘Mi tío apenas tenía una semana casado con una mujer, mi tía’			tx84[01_234-01_339].wav
kíni tío ko mi birá biréana aserradérochi shimíri nocháshia ba		‘Mi tío se fue a trabajar a un aserradero’			tx84[01_413-01_457].wav
biré tarári á chi'réri mi nócha		‘Se estuvo una semana trabajando’			tx84[01_457-01_479].wav
ke pirá wéshi che rihóori		‘Nadie más vivía’			tx84[01_515-01_533].wav
a'rí awíniri birá ti muchí choná ba bikiá bi ka ba		‘Estábamos solas nomás las tres’			tx84[01_550-01_598].wav
a'rí kóti riwá biré namúti inárami nári ka chakéna ináriri		‘Ese día vimos un animal’		[LEL: riwáki atíami – lo vimos sentado]	tx84[02_060-02_110].wav
a'rí we biráti á mahári tamó ko		‘Entonces tuvimos mucho miedo’			tx84[02_140-02_161].wav
kíni tía we mahári cho		‘Mi tía también tenía miedo’			tx84[02_161-02_175].wav
we sapú éri...éri		‘Cerró pronto’			tx84[02_175-02_199].wav
a'rí mati shinéami ném cho tám iwákachi machími		‘Y ya todos nos asomamos por el agujerito para afuera’		check phon	tx84[02_279-02_302].wav
ta naká uchúwi		‘Estábamos viéndolo’		check phon	tx84[02_302-02_324].wav
a'rí ma biráti we mahári tamó ko		‘Y entonces ya empezamos a asustarnos nosotros’			tx84[02_324-02_346].wav
a'rí birá ma machí (atí) ápu ku bitiké		‘Ahi estaba donde estaba la leña’			tx84[02_372-02_393].wav
écho ná birá atí ápu riká biré kochí matikáre ra naká ba		‘Ahi estaba sentado viendo como un perro’			tx84[02_393-02_426].wav
a'rí ko birá ma ba he aní kíni tía:		‘Entonces ya dijo mi tía’			tx84[02_426-02_454].wav
“pée...mawiyá hu aré, píri hu aré” aní birá		‘”Será un léon o qué será?” dijo’			tx84[02_454-02_494].wav
“mariyóchi ke re ma, ke ne machí” he birá aní ba		‘A lo mejor es lobo, no se! decía’			tx84[02_494-02_523].wav
“we káchi biré kochí hu pa”		‘No era perro”			tx84[02_523-02_542].wav
a'rí ko na ma biráti we éka mochíri abépi hónsa		‘Entonces nos encerramos desde temprano’			tx84[02_562-03_009].wav
mati ke biré buyá		‘Ya no salimos’			tx84[03_009-03_026].wav
a'rí rokó weti maháa chirébi choná		‘Y en la noche dormimos con mucho miedo’			tx84[03_026-03_051].wav
wa'rúti na'aká ám chi'réa ke biré na		‘Echamos bastante lumbre toda la noche’		amanecieron	tx84[03_051-03_078].wav
ke biréti cho'ítiri mochíri tamó pachái		‘No apagamos la luz nosotros’		[cho’ítari – apagado; na’í ma cho’í – ya se está apagando]	tx84[03_078-03_102].wav
pacháiti á wiká katiwása muchí na ku		‘Adentro teníamos bastante leña’			tx84[03_102-03_132].wav
sinibí...na'aká biráti chi'réba a'rí rokó ba		‘Toda la noche echamos lumbre’			tx84[03_132-03_166].wav
we biráti maháami muchúwa ba		‘Porque estábamos asustadas’			tx84[03_166-03_187].wav
a'rí ya námo rá		‘Y escuchamos’			tx84[03_258-03_271].wav
ne sapú pochí...pochía noríno rá ne murípe ye... yéachi		‘Brincó para el lado de la puerta, junto a la puerta		puerta	tx84[03_271-03_311].wav
nokí nawáko rá pochíka		‘Casi llegó a la puerta de un brinco’			tx84[03_311-03_330].wav
a'rí birá (ba) choná hónsa ne así biráti maháa ba		‘Y entonces de allí teníamos mucho miedo’			tx84[03_330-03_359].wav
a'rí ko ma birá ku ke néaki akíbi ripári ku akíbi pa		‘Y luego se desapareció, se fue para arriba’			tx84[03_359-03_400].wav
we béti mahá muchúu pa		‘Estábamos muy asustadas’		/muchúwi ba/	tx84[03_436-03_451].wav
a'rí ko na ... noríni birá biré cho tíora tabéara lína na ko na...		‘Y luego vino otro tío, el más chiquito y luego...’		check phon	tx84[03_569-04_028].wav
a'rí noríini a'rá he birá aní pa: “píri chetimi orá chéni rawé éka muchúu éem pa” he birá aní		‘Y luego vino y dijo: “Porqué están encerrados tan tarde ustedes”, así dijo’		[BF: chén rawé: ‘tan tarde’]	tx84[04_057-04_125].wav
a'rí ma biráti a'rá ruwé ba: “na... biré namúti nawáro ná bitichí, ke biráti machío ru ba”		‘Y luego ya le dijimos: “llegó una cosa ahí en la casa, no supimos qué era”’			tx84[04_125-04_187].wav
he birát anéa ba, “warúara basachí níri ré” he biráti aní ba		‘Le dijimos: “a lo mejor era un coyote grande”, dijimos’			tx84[04_210-04_243].wav
a'rí ko ma biráti á buyá pa		‘Y luego ya salimos’			tx84[04_243-04_273].wav
mat á néni ápu ko ná ayári		‘Y ya vimos donde se estuvo sentado’			tx84[04_273-04_296].wav
